Date,Home_Team,Away_Team,Home_Score,Away_Score,League,Sport
2026-04-14,Baltimore Orioles,Arizona Diamondbacks,9,10,MLB,Baseball
2026-04-14,Cleveland Guardians,St. Louis Cardinals,10,0,MLB,Baseball
2026-04-14,Boston Red Sox,Minnesota Twins,11,7,MLB,Baseball
2026-04-14,Detroit Tigers,Kansas City Royals,10,7,MLB,Baseball
2026-04-14,Pittsburgh Pirates,Washington Nationals,7,9,MLB,Baseball
2026-04-14,Cincinnati Reds,San Francisco Giants,11,6,MLB,Baseball
2026-04-14,Philadelphia Phillies,Chicago Cubs,9,9,MLB,Baseball
2026-04-14,New York Yankees,Los Angeles Angels,5,5,MLB,Baseball
2026-04-14,Miami Marlins,Atlanta Braves,7,5,MLB,Baseball
2026-04-14,Chicago White Sox,Tampa Bay Rays,11,7,MLB,Baseball
2026-04-14,Milwaukee Brewers,Toronto Blue Jays,9,7,MLB,Baseball
2026-04-14,Houston Astros,Colorado Rockies,9,10,MLB,Baseball
2026-04-14,San Diego Padres,Seattle Mariners,10,8,MLB,Baseball
2026-04-14,Texas Rangers,Oakland Athletics,10,7,MLB,Baseball
2026-04-14,Baltimore Orioles,Arizona Diamondbacks,9,10,MLB,Baseball
2026-04-14,Cleveland Guardians,St. Louis Cardinals,10,0,MLB,Baseball
2026-04-14,Boston Red Sox,Minnesota Twins,11,7,MLB,Baseball
2026-04-14,Detroit Tigers,Kansas City Royals,10,7,MLB,Baseball
2026-04-14,Pittsburgh Pirates,Washington Nationals,7,9,MLB,Baseball
2026-04-14,Cincinnati Reds,San Francisco Giants,11,6,MLB,Baseball
2026-04-14,Philadelphia Phillies,Chicago Cubs,9,9,MLB,Baseball
2026-04-14,New York Yankees,Los Angeles Angels,5,5,MLB,Baseball
2026-04-14,Miami Marlins,Atlanta Braves,7,5,MLB,Baseball
2026-04-14,Chicago White Sox,Tampa Bay Rays,11,7,MLB,Baseball
2026-04-14,Milwaukee Brewers,Toronto Blue Jays,9,7,MLB,Baseball
2026-04-14,Houston Astros,Colorado Rockies,9,10,MLB,Baseball
2026-04-14,San Diego Padres,Seattle Mariners,10,8,MLB,Baseball
2026-04-14,Texas Rangers,Oakland Athletics,10,7,MLB,Baseball
2026-04-14,Los Angeles Dodgers,New York Mets,11,7,MLB,Baseball
2025-10-27,New York Knicks,Atlanta Hawks,123,112,NBA,Basketball
2026-01-20,Atlanta Hawks,New York Knicks,110,116,NBA,Basketball
2026-03-05,New York Knicks,Atlanta Hawks,100,105,NBA,Basketball
2025-10-31,Toronto Raptors,Cleveland Cavaliers,112,121,NBA,Basketball
2025-11-15,Toronto Raptors,Cleveland Cavaliers,100,115,NBA,Basketball
2025-12-21,Cleveland Cavaliers,Toronto Raptors,99,112,NBA,Basketball
