ID,Fecha,Partido,Liga,Pick,Probabilidad,Cuota,Stake,Estado
1,2026-04-13,Toluca vs San Luis,LIGA_MX,LOCAL,0.7804499928411345,1.65,1449.56,PENDIENTE
2,2026-04-13,Manchester Utd vs Leeds,Premier League,Local,0.5547409944751673,2.0,358.5,PENDIENTE
3,2026-04-13,Fiorentina vs Lazio,Serie A,Local,0.5547409944751673,2.0,358.5,PENDIENTE
4,2026-04-13,Akron Togliatti vs Dynamo Moscow,Premier League,Local,0.5547409944751673,2.0,358.5,PENDIENTE
5,2026-04-13,LNZ Cherkasy vs Shakhtar Donetsk,Premier League,Local,0.5547409944751673,2.0,358.5,PENDIENTE
6,2026-04-13,El Kanemi vs Nasarawa,Premier League,Local,0.5547409944751673,2.0,358.5,PENDIENTE
7,2026-04-13,Al Hikma vs Tadamon,Premier League,Local,0.5547409944751673,2.0,358.5,PENDIENTE
8,2026-04-14,Philadelphia 76ers vs Orlando Magic,NBA,Philadelphia 76ers,0.65,2.02,803.86,PENDIENTE
9,2026-04-14,Los Angeles Clippers vs Golden State Warriors,NBA,Los Angeles Clippers,0.65,2.6,1129.7,PENDIENTE
10,2026-04-14,Baltimore Orioles vs Arizona Diamondbacks,MLB,Baltimore Orioles,0.65,2.2,938.69,PENDIENTE
11,2026-04-14,Philadelphia Phillies vs Chicago Cubs,MLB,Philadelphia Phillies,0.65,2.24,963.34,PENDIENTE
12,2026-04-14,Cincinnati Reds vs San Francisco Giants,MLB,Cincinnati Reds,0.65,1.96,747.68,PENDIENTE
13,2026-04-14,Detroit Tigers vs Kansas City Royals,MLB,Detroit Tigers,0.65,1.79,542.16,PENDIENTE
